nome;unidade;
LEMOM PEPPER KG;KG;
HORTELA TRITURADA DESID KG;KG;
GRAO DE BICO MEXIC 9mm KG;KG;
GRAO DE BICO MEXICANO 12MM KG;KG;
GLUTAMATO MONOSSODICO (AJINOMOTO) KG;KG;
GERGELIM PRETO KG;KG;
GERGELIM BRANCO S/ PELE KG;KG;
FUNCHO SEMENTE KG;KG;
FENO GREGO MOIDO KG;KG;
FECULA DE BATATA KG;KG;
TAPIOCA GRANULADA KG;KG;
ERVILHA VERDE PARTIDA KG;KG;
ERITRITOL KG;KG;
CURRY EM PO KG;KG;
ACAFRAO DA TERRA PO KG;KG;
CRAVO DA INDIA PO KG;KG;
CRAVO FLOR DA INDIA KG;KG;
COLAGENO HIDROLISADO KG;KG;
COENTRO EM PO KG;KG;
COCO RALADO MEDIO KG;KG;
COCO RALADO FINO KG;KG;
COCO CHIPS CHOC KG;KG;
COCO CHIPS TOSTADO C/ ACUCAR KG;KG;
CHIPS DE COCO NATURAL KG;KG;
CEREJA GLACEADA KG;KG;
CANELA 40/50/60 CENTIMETRO KG;KG;
CACAU EM PO KG;KG;
BLUE BERRIES (MIRTILIO) KG;KG;
BETERRABA PO KG;KG;
ANIS ESTRELADO KG;KG;
ALHO EM PO KG;KG;
ALHO FRITO KG;KG;
ACUCAR DEMERARA NAT ORGANICO KG;KG;
ACUCAR MASCAVO KG;KG;
ACUCAR DE COCO KG;KG;
ABACAXI DESIDRATADO KG;KG;
ABACAXI CRISTALIZADO KG;KG;
PTS GRAUDA NATURAL KG;KG;
DAMASCO TURCO EXTRA JUMBO KG;KG;
DAMASCO RAIZEIRO KG;KG;
DAMASCO TURCO DOCE KG;KG;
MINI PAO DE HAMBURGUER KG;KG;
PTS GRAUDA CARAMELO KG;KG;
PTS GRANULADO BACON KG;KG;
PTS GRANULADO CLARA KG;KG;
TRIGO SARRACENO GRAO KG;KG;
PAO DE TRANCA DOCE KG;KG;
TUBETE CHOC C/AVELA KG;KG;
TUBETE AVELA KG;KG;
TUBETE CHOC KG;KG;
TUBETE BAUNILHA KG;KG;
BOMBOM COB CHOC RECH CHOC/AVELA KG;KG;
PTS GRANULADO CARAMELO KG;KG;
CHOCOLATE EM PO KG;KG;
LINHACA DOURADA SEMENTE KG;KG;
COCADA MINEIRA ESCURA KG;KG;
BANANA COM CHOCOLATE KG;KG;
GLUTAMATO KG;KG;
TRIGUILHO BULGHUR KG;KG;
GOJI BERRY KG;KG;
PEPITA DE ABOBORA CRUA KG;KG;
FEIJAO PRETO KG;KG;
TRIGO PARA QUIBE KG;KG;
PEPITA DE GIRASSOL CRUA KG;KG;
CEBOLA PO KG;KG;
SAGU KG;KG;
CALDO CARNE KG;KG;
CANELA EM PO PURA KG;KG;
MACA SECA KG;KG;
FEIJAO BRANCO ARGENTINO KG;KG;
SOJA GRAO CRUA KG;KG;
BICARBONATO SODIO KG;KG;
LENTILHA VERM PARTIDA KG;KG;
MILHO ESPANHOL MEL E MOSTARDA KG;KG;
SEMENTE GIRASSOL COM CASCA KG;KG;
QUIRELA CANJIQUINHA KG;KG;
LARANJA DESIDRATADA FATIAS KG;KG;
LARANJA CRISTALIZADO KG;KG;
KIWI FATIADO DESIDRATADO KG;KG;
BATATA DOCE CHIPS KG;KG;
ARROZ CATETO INTEGRAL KG;KG;
COCADA MINEIRA BRANCA KG;KG;
COCADA COM MARACUJA KG;KG;
BANANINHA KG;KG;
ABOBORA CRISTALIZADO KG;KG;
FIGO CRISTALIZADO KG;KG;
DOCE LEITE MINAS GERAIS KG;KG;
PE DE MOCA KG;KG;
CANUDINHO DOCE LEITE KG;KG;
PALHA ITALIANA KG;KG;
FIGO C/ DOCE DE LEITE KG;KG;
FRUTS CEREAL KG;KG;
SUCRILHOS NATURAL KG;KG;
AMEIXA MEDIA S/CAR KG;KG;
RICOTA FRESCA TIROLEZ KG;KG;
PRESUNTO SEARA KG;KG;
PEITO DE PERU SADIA KG;KG;
MORTADELA OURO PERDIGAO KG;KG;
MUÇARELA 3 MARIAS KG;KG;
PTS BIFE DE SOJA KG;KG;
COOKIES CHOCOLATE C/ GOTAS KG;KG;
MACA PERUANA KG;KG;
TAPIOCA MASSA PRONTA 1KG DA TERRINHA;UN;
GERGELIM TORRADO KG;KG;
GENGIBRE MOIDO PO KG;KG;
FUMACA EM PO KG;KG;
FUBA MIMOSO MINAS KG;KG;
QUINUA MIX EM GRAO KG;KG;
CACAU EM PO DARK ALCALINO KG;KG;
BICARBONATO AMONIO KG;KG;
FRUTAS CRISTALIZADAS KG;KG;
DRAGEA DE PAO DE MEL C/ CHOC BRANO AO LEITE S/LACTOSE E S/AC KG;KG;
SAIAO KG;KG;
PITANGA FOLHA KG;KG;
ORA PRO NOBIS EM PO KG;KG;
NO DE CACHORRO RAZURADO KG;KG;
MORINGA EM PÓ KG;KG;
MORINGA FOLHA KG;KG;
CARVAO ATIVADO KG;KG;
CAJUEIRO KG;KG;
ARNICA KG;KG;
SENE FOLICOLO KG;KG;
PATA DE VACA KG;KG;
MULUNGU RASURADO KG;KG;
JURUBEBA FOLHAS KG;KG;
CAVALINHA KG;KG;
FOLHA DE AMEIXA KG;KG;
DRAGEA GOURMET DE FRUTAS VERMELHAS S/LACTOSE E S/ACUCAR KG;KG;
DRAGEA TRUFADA DE MACARUJA LIOFILIZADO S/ACUCAR KG;KG;
UVA PASSA RAIZEIRO KG;KG;
LENTILHA AMARELA CANAD INT KG;KG;
UVA PASSA PRETA KG;KG;
CRANBERRY FATIADO KG;KG;
ARROZ BASMATI KG;UN;
PLACA DE MASSA DOCE KG;KG;
CHA VERDE EM PO KG;KG;
TEMPERA TUDO KG;KG;
CAVALINHA EM PO KG;KG;
CHOC BRANCO EM MOEDAS KG;KG;
CHOC GOTAS AO LEITE KG;KG;
MUÇARELA ITALAC KG;KG;
MEL SILVESTRE POTE 1kg MINAMEL;UN;
CHOC EM MOEDAS 1/2 AMARGO KG;KG;
FEIJAO AZUKI KG;KG;
LENTILHA VERMELHA INT KG;KG;
FEIJAO ANDU MINEIRO KG;KG;
MARAPUAMA RASURADA KG;KG;
COGUMELO FUNGHI SECO KG;KG;
MOSTARDA EM PO KG;KG;
TAMARA COM CAROCO KG;KG;
EXTRATO DE SOJA S/ SABOR KG;KG;
ERVILHA COM WASABI KG;KG;
COMINHO GRAO KG;KG;
SEMENTE DE COENTRO KG;KG;
CARDAMOMO EM PO KG;KG;
CALDO DE CAMARAO KG;KG;
FEIJAO DE TRAÇA KG;KG;
CALDO DE BACON PO KG;KG;
CALDO LEGUMES KG;KG;
MACA DESIDRATADA RODELAS KG;KG;
PSYLLIUM KG;KG;
TOMATE SECO CONS KG;KG;
TREMOCO KG;KG;
CONFEITO MM KG;KG;
LEITE EM PO DESNATADO KG;KG;
LEITE EM PO INTEGRAL KG;KG;
CHOC GRANULADO KG;KG;
BALA JUJUBA KG;KG;
DELICADO DORI KG;KG;
MACA DESIDRATADA C/ACUCAR KG;KG;
GENGIBRE CRISTALIZADO EM CUBOS KG;KG;
CATUABA PO GRANEL KG;KG;
GRANOLA TRADIC 1Kg NATUTAL LIFE;UN;
ROSCA DA PENHA KG;KG;
BOLACHA JAPONEZA SEMBEI KG;KG;
BOLACHA AGNUS AVELA KG;KG;
FEIJAO BOLINHA (CANARIO) KG;KG;
TOMATE EM FLOCOS DESIDRATADA KG;KG;
GINSENG PO KG;KG;
FARELO DE TRIGO KG;KG;
PSYLLIUM 60% KG;KG;
PEPITA DE GIRASSOL TORRADA KG;KG;
CANJICA BRANCA KG;KG;
LEVEDURA NUTRIC FLOCOS KG;KG;
BANDEJA DE FRIOS KG;KG;
ACUCAR DE BAUNILHA KG;KG;
CASCARA SAGRADA KG;KG;
CREAMASS MORANGO 3KG POUCH INTEGRAL MEDICA;UN;
CREAMASS CHOCOLATE 3KG POUCH INTEGRAL MEDICA;UN;
CREAMASS COOKIES 3 KG POUCH INTEGRAL MEDICA;UN;
VALERIANA RAIZ KG;KG;
PEITO DE PERU DE SOJA 1.5KG GOSHEN;UN;
LEVEDO DE CERVEJA KG;KG;
VAIDOSA KG;KG;
ROMEU E JULIETA KG;KG;
ZATAR KG;KG;
QUINUA FLOCOS KG;KG;
MANGERONA TRITURADA KG;KG;
GOIABA DESIDRATADA KG;KG;
FUBA ITALIANO KG;KG;
MUÇARELA MONTE VERDE KG;KG;
MORTADELA REZENDE KG;KG;
GOIABA DESIDRATADA C/ ACUCAR KG;KG;
LEVEDURA SECA DE CEREJA KG;KG;
ERVILHA VERDE INTEIRA KG;KG;
ARROZ ARBORIO 1KG LA PASTINA;UN;
ACUCAR DE CONFEITEIRO KG;KG;
ACUCAR IMPALPAVEL KG;KG;
ARROZ PARA PAELLA 1KG LA PASTINA;UN;
LENTILHA MARROM INDIANA KG;KG;
CHOCO CORN KG;KG;
MINI MILHO EM CONS BALDE 2Kg DON PEPE;UN;
FLOCOS DE TRIGO KG;KG;
MIX DE FRUTAS GLACEADAS KG;KG;
CEREJA MARRASQUINO S/ CABO KG;KG;
SEMENTE DE PAPOULA KG;KG;
QUEIJO BRIE BABY KG CRUZILIA;KG;
AVELA TORR C/CASCA KG;KG;
SENE EM PO KG;KG;
